Cpu,   Memory(MB),   NumFiles,   IOSize(MB),   NumThreads,   ThreadMemory(MB),ThputIOps,ThputMbps,RespTime
100 ,     110 ,     800 ,     1 ,     50 ,     10,  100018.436,  491.4,   0.149
100 ,     110 ,     800 ,     1 ,     50 ,     4,  110375.608,  542.2,   0.147
100 ,     110 ,     800 ,     1 ,     50 ,     6,  102652.399,  504.3,   0.145
100 ,     110 ,     800 ,     1 ,     50 ,     8,  106197.694,  521.7,   0.148
100 ,     110 ,     800 ,     1 ,     60 ,     10,  95628.117,  469.8,   0.181
100 ,     110 ,     800 ,     1 ,     60 ,     4,  107324.741,  527.2,   0.175
100 ,     110 ,     800 ,     1 ,     60 ,     6,  104892.523,  515.3,   0.179
100 ,     110 ,     800 ,     1 ,     60 ,     8,  103324.434,  507.6,   0.177
100 ,     110 ,     800 ,     1 ,     70 ,     10,  99522.560,  488.8,   0.219
100 ,     110 ,     800 ,     1 ,     70 ,     4,  106231.748,  521.8,   0.202
100 ,     110 ,     800 ,     1 ,     70 ,     6,  96007.377,  471.5,   0.209
100 ,     110 ,     800 ,     1 ,     70 ,     8,  102156.193,  501.8,   0.208
100 ,     110 ,     800 ,     1 ,     80 ,     10,  91264.363,  448.3,   0.256
100 ,     110 ,     800 ,     1 ,     80 ,     4,  99097.618,  486.8,   0.236
100 ,     110 ,     800 ,     1 ,     80 ,     6,  95374.099,  468.5,   0.243
100 ,     110 ,     800 ,     1 ,     80 ,     8,  97068.347,  476.7,   0.242
100 ,     110 ,     800 ,     2 ,     50 ,     10,  103036.971,  506.2,   0.148
100 ,     110 ,     800 ,     2 ,     50 ,     4,  105069.289,  516.1,   0.167
100 ,     110 ,     800 ,     2 ,     50 ,     6,  112759.116,  554.0,   0.140
100 ,     110 ,     800 ,     2 ,     50 ,     8,  107467.087,  527.9,   0.142
100 ,     110 ,     800 ,     2 ,     60 ,     10,  97633.120,  479.6,   0.172
100 ,     110 ,     800 ,     2 ,     60 ,     4,  112320.050,  551.8,   0.165
100 ,     110 ,     800 ,     2 ,     60 ,     6,  107584.734,  528.5,   0.169
100 ,     110 ,     800 ,     2 ,     60 ,     8,  100231.537,  492.4,   0.173
100 ,     110 ,     800 ,     2 ,     70 ,     10,  100417.563,  493.3,   0.218
100 ,     110 ,     800 ,     2 ,     70 ,     4,  104592.159,  513.7,   0.195
100 ,     110 ,     800 ,     2 ,     70 ,     6,  100044.614,  491.4,   0.200
100 ,     110 ,     800 ,     2 ,     70 ,     8,  97050.522,  476.8,   0.206
100 ,     110 ,     800 ,     2 ,     80 ,     10,  93487.595,  459.3,   0.237
100 ,     110 ,     800 ,     2 ,     80 ,     4,  107954.243,  530.3,   0.223
100 ,     110 ,     800 ,     2 ,     80 ,     6,  102541.859,  503.7,   0.232
100 ,     110 ,     800 ,     2 ,     80 ,     8,  102113.353,  501.5,   0.242
100 ,     110 ,     800 ,     3 ,     50 ,     10,  102782.253,  504.9,   0.151
100 ,     110 ,     800 ,     3 ,     50 ,     4,  110647.850,  543.5,   0.136
100 ,     110 ,     800 ,     3 ,     50 ,     6,  110806.326,  544.3,   0.160
100 ,     110 ,     800 ,     3 ,     50 ,     8,  111043.997,  545.5,   0.141
100 ,     110 ,     800 ,     3 ,     60 ,     10,  101392.450,  498.1,   0.176
100 ,     110 ,     800 ,     3 ,     60 ,     4,  107624.925,  528.7,   0.164
100 ,     110 ,     800 ,     3 ,     60 ,     6,  109310.184,  536.9,   0.163
100 ,     110 ,     800 ,     3 ,     60 ,     8,  108704.616,  534.0,   0.169
100 ,     110 ,     800 ,     3 ,     70 ,     10,  103331.372,  507.7,   0.203
100 ,     110 ,     800 ,     3 ,     70 ,     4,  109880.276,  539.8,   0.195
